127.0.0.1 - - [03/Jun/2018:22:59:00 -0300] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [03/Jun/2018:22:59:37 -0300] "GET /FolhaVerde/CartItens.jsp HTTP/1.1" 200 4010
0:0:0:0:0:0:0:1 - - [03/Jun/2018:22:59:37 -0300] "GET /FolhaVerde/CSS/IndieFlower.css HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [03/Jun/2018:22:59:37 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 200 1148
0:0:0:0:0:0:0:1 - - [03/Jun/2018:22:59:37 -0300] "GET /FolhaVerde/jquery-ui/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [03/Jun/2018:22:59:37 -0300] "GET /FolhaVerde/CSS/CartItens.css HTTP/1.1" 200 966
0:0:0:0:0:0:0:1 - - [03/Jun/2018:22:59:37 -0300] "GET /FolhaVerde/CSS/Pages.css HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Jun/2018:22:59:37 -0300] "GET /FolhaVerde/CSS/RobotoFonts.css HTTP/1.1" 200 2450
0:0:0:0:0:0:0:1 - - [03/Jun/2018:22:59:37 -0300] "GET /FolhaVerde/imgs/LOGO.png HTTP/1.1" 200 150286
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:00:00 -0300] "GET /FolhaVerde/Payent.jsp HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:00:04 -0300] "GET /FolhaVerde/Payment.jsp HTTP/1.1" 200 4400
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:00:04 -0300] "GET /FolhaVerde/CSS/Payment.css HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:05:08 -0300] "GET /FolhaVerde/Payment.jsp HTTP/1.1" 200 3628
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:05:08 -0300] "GET /FolhaVerde/CSS/Pages.css HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:05:08 -0300] "GET /FolhaVerde/CSS/Payment.css HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [03/Jun/2018:23:05:08 -0300] "GET /FolhaVerde/CSS/NavBar.css HTTP/1.1" 200 1148
